"Real GDP growth (Annual percent change)","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","Estimates start after"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Bulgaria","5.7","5.3","4.2","3","4.5999999999999996","1.8","5.3","4.7","2.4","-0.5","-9.1","-10.8","-8.4","-11.6","-3.7","-1.6","5.2","-14.1","3.8","-8.4","4.5999999999999996","3.8","5.9","5.2","6.5","7.1","6.8","6.7","6.1","-3.3","1.6","2.1","0.7","-0.5","0.9","3.4","3","2.7","2.2999999999999998","3.8","-3.1","7.8","4.0999999999999996","1.7","3.4","3.1","2.8","2.5","2.8","2.6","2.6","2.6",2025
"Burkina Faso","4","2.7","1.4","-1.2","1.6","11.3","8","-0.2","5.8","2.2000000000000002","-0.6","9.1","0.2","3.5","1.3","5.7","11","6.3","7.3","7.3","1.9","6.6","4.4000000000000004","7.8","4.5","8.6999999999999993","6.3","4.0999999999999996","5.8","3","8.4","6.6","6.5","5.8","4.3","3.9","6","6.2","6.6","5.9","2","6.9","1.6","3","4.8","5","4.9000000000000004","4.8","4.8","4.8","4.8","4.9000000000000004",2024
"Burundi","-6.8","12.2","-1.1000000000000001","3.7","0.2","11.8","3.2","5.5","5","1.3","3.5","5.8","1","-6.2","-3.8","-7.9","-8","0.4","4.8","1.2","1.8","1.7","2.4","2.5","3.8","4.4000000000000004","5.4","3.5","4.9000000000000004","3.8","5.0999999999999996","4","4.4000000000000004","4.9000000000000004","4.2","-3.9","-0.6","0.5","1.6","1.8","0.3","3.1","1.8","2.7","4.0999999999999996","3.9","3.8","4.2","4","4.0999999999999996","4.0999999999999996","4.2",2024
"Cabo Verde","5.3","8.5","2.8","9.5","3.8","8.6","2.9","4.3","6","5.7","0.7","1.4","3","7.3","6.9","7.5","6.7","7.6","8.4","11.9","7.3","6.1","5.3","7.5","4.9000000000000004","5.8","9.1","15.2","7","-1.5","1.8","3.9","1.1000000000000001","0.6","0.7","0.9","4.3","4.5999999999999996","3.7","6.9","-20.8","7","15.8","4.8","7.2","5.5","4.8","5","5","5.0999999999999996","5.0999999999999996","5.0999999999999996",2024
"Cambodia","no data","no data","no data","no data","no data","no data","no data","no data","9.6","3.3","1.1000000000000001","7.6","7.1","4","8.1999999999999993","9.9","5.9","4","4.7","12.7","10.7","5.5","8.6999999999999993","7.9","8.3000000000000007","14.1","10.9","9.8000000000000007","9","5.3","5.3","8.8000000000000007","9.1","7.8","5.8","6.8","7.4","7.6","8.6999999999999993","7.9","-3","2.9","5.5","5","6","5","4","4.7","5","5.3","5.4","5.5",2024
"Cameroon","9.9","17.100000000000001","7.6","6.8","7.5","8.1","6.8","-2.2000000000000002","-7.9","-1.8","-6.2","-3.8","-3.1","-3.2","-2.5","3.3","4.9000000000000004","5.3","4.9000000000000004","4.0999999999999996","3.8","4.3","4.5","5.5","7","2.2000000000000002","3.8","4.3","2.8","2.6","2.9","3.4","4.5999999999999996","5","5.7","5.7","4.5","3.5","4","3.5","0.3","3.3","3.7","3.3","3.5","3.1","3.3","3.8","4.2","4.3","4.4000000000000004","4.5999999999999996",2024
"Canada","2.2000000000000002","3.5","-3.2","2.6","5.9","4.7","2.1","4.0999999999999996","4.4000000000000004","2.2999999999999998","0.2","-2.1","0.9","2.7","4.5","2.7","1.7","4.3","3.9","5.0999999999999996","5.0999999999999996","1.9","3","1.8","3.1","3.2","2.6","2","1","-2.9","3.1","3.1","1.8","2.2999999999999998","2.9","0.6","1","3","2.7","1.9","-5","6","4.7","2","2","1.7","1.5","1.9","1.7","1.7","1.7","1.8",2025
"Cayman Islands","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Central African Republic","-3","13","-3.6","-6","9.9","3.7","7.2","0","1.7","3.8","1.4","-0.8","-4.9000000000000004","-1.2","12.6","3.2","-6.2","4.0999999999999996","3.3","2.9","-3.6","2.6","2.1","-2.2000000000000002","-0.1","2.9","4.8","4","2.6","2.8","4.5999999999999996","4.2","5.0999999999999996","-36.4","0.1","4.3","4.7","4.5","3.2","4","0.9","0.1","0.8","0.1","3.1","4.8","2.6","3","3.2","3.5","3.5","3.5",2019
"Chad","-6","-10.8","5.4","15.7","5.3","7.9","6","3.6","7.5","2","3.2","10.4","2.4","-2.1","5.5","-0.8","2.1","5.7","7","-0.7","-0.9","11.7","8.5","14.7","33.6","7.5","-0.5","4.4000000000000004","3.1","-1.3","13.8","4.5999999999999996","8.9","2.9","2.2999999999999998","3.2","-3.7","-2.1","5.2","5.9","0","2","4.7","5","5","5.6","5.2","4.9000000000000004","4.8","5.0999999999999996","5.2","5.3",2024
