"Real GDP growth (Annual percent change)","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","Estimates start after"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Korea, Dem. People's Rep. of","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Korea, Republic of","-1.5","7.4","8.5","13.5","10.6","7.9","11.5","12.9","12.1","7.2","10","10.9","6.4","7","9.4","9.6999999999999993","8","6.3","-4.9000000000000004","11.6","9.1999999999999993","4.7","7.7","3.1","5.2","4.4000000000000004","5.2","5.8","3","0.8","7","3.7","2.5","3.3","3.2","2.9","3.2","3.4","3.2","2.2999999999999998","-0.7","4.5999999999999996","2.7","1.6","2","1","1.9","2.1","2.2000000000000002","2","1.9","1.9",2025
"Kosovo","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","4.5999999999999996","-0.4","2.6","0.6","4.5","3.6","8.3000000000000007","1.8","5","4.9000000000000004","6.3","1.7","5.3","3.3","5.9","5.6","4.8","3.4","4.8","-5.3","10.7","4.3","4.0999999999999996","4.5999999999999996","3.6","3.3","3.8","4","4","4","4",2026
"Kuwait","no data","no data","-9.5","5.3","5.2","-4.3","8.6","8.1","-10","25.9","-26.2","-41","82.8","35.1","8.6","1.7","0.6","2.5","3.7","-1.8","4.7","0.2","3","17.3","10.199999999999999","10.6","7.5","6","2.5","-7.1","-2.4","9.6","6.6","1.1000000000000001","0.5","0.6","2.9","-4.7","2.7","2.2999999999999998","-4.8","1.7","6.8","-1.6","-1.5","3.5","-0.6","2.8","2.5","2.4","2.4","2.4",2024
"Kyrgyz Republic","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","-13","-19.8","-5.4","7.1","9.9","2.1","3.7","5.4","5.3","0","7","7","-0.2","3.1","8.5","7.6","2.9","-0.5","6","-0.1","10.9","4","3.9","4.3","4.7","3.5","4.5999999999999996","-7.1","5.5","9","9","11.5","11.1","6.1","6.1","5.7","5.4","5.3","5.2",2024
"Lao P.D.R.","10","15.3","4.7","3","6.4","9.1","4.8","-1","-2.1","9.9","6.7","4","7","5.9","8.1999999999999993","7","6.9","6.9","4.3","4","6.4","4.8","6.8","6.2","7.2","6.9","9","7.9","7.8","7.4","8","8","7.8","8","7.6","7.3","7","6.9","6.2","4.7","-0.4","2.1","2.2999999999999998","3.7","4.3","4.8","4","4","3.5","3","3","3",2025
"Latvia","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","-11.4","2.2000000000000002","-2.1","2.2999999999999998","9.1999999999999993","6.6","2.8","5.8","6.5","7.7","8.4","8.6999999999999993","11.6","12.8","10.4","-3.4","-16","-3.7","3","7.3","2.1","2.1","3.8","2.6","3.4","4.3","0.7","-3.5","6.9","1.9","-0.9","0","2.1","2.2000000000000002","2.4","2.4","2.4","2.4","2.4",2025
"Lebanon","1.5","0.5","-36.799999999999997","22.7","44.5","24.3","-6.8","16.7","-28.2","-42.2","-13.4","38.200000000000003","4.5","7","8","6.5","4","10.199999999999999","3.9","-0.8","1.1000000000000001","3.9","3.4","1.7","7.5","2.5","1.5","9.3000000000000007","9.1","10.199999999999999","8","0.9","2.8","3.8","2.4","0.5","1.6","0.8","-1.9","-6.6","-26.8","2.1","1","-0.7","-7.5","4","no data","no data","no data","no data","no data","no data",2021
"Lesotho","-0.8","3.1","5.6","3","4.8","3","3.8","2.7","7.9","6","6.4","7.5","6.1","4","5.2","4.0999999999999996","4.8","3.3","1.3","1.4","4","3.3","2.4","4.2","2.1","3.3","4.2","5","2.7","0.5","5.0999999999999996","6.3","4.7","1.2","1.5","3.6","2.2999999999999998","-3.3","-1.3","-1.8","-8.6","4.5999999999999996","1.6","2.5","4.9000000000000004","1.4","1.1000000000000001","0.8","1.4","1.5","1.5","1.5",2025
"Liberia","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","2.8","4.4000000000000004","-29","4","5.9","8.5","13.1","6.1","5.2","6.4","7.7","8.4","8.8000000000000007","0.7","0","-1.6","2.5","1.2","-2.5","-3","5","4.8","4.5999999999999996","4","5.0999999999999996","5.0999999999999996","5.4","5.6","5.6","5.6","5.5",2025
"Libya","0.6","-20","1.5","-4.7","-8.3000000000000007","0.6","-11.4","-14.7","7.6","7.2","3.7","18.3","-4.5","-5.5","3.2","-15.4","1.8","-2.6","-0.7","-0.2","4","2.6","-3.7","16.100000000000001","5.8","10.6","0.3","6.2","-0.2","-4.4000000000000004","5","-50.3","86.8","-18","-23","-0.8","-1.5","32.5","7.9","-11.2","-29.5","27.3","-8.6","10.5","4.2","15.9","6.7","4.5","4.5","4.2","4","3.8",2019
"Liechtenstein","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","-1","-0.3","-2.7","3.6","5.3","7.9","7.8","-1.9","-11.9","8","-4.2","-0.2","5","3.6","0.3","2.4","4.5","3.5","-2.2000000000000002","-5.3","18","-4.8","3.4","-0.3","0","-0.4","0.4","1.2","1.5","1.5","1.5",2026
"Lithuania","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","5.2","8.4","7.7","-1.1000000000000001","3.3","6.6","6.5","10.5","6.3","8.1999999999999993","7.3","11.1","2.2000000000000002","-14.5","0.3","6.3","4.4000000000000004","4.0999999999999996","3.8","2.8","2.6","4.7","4.8","4.7","0","6.4","2.4","0.8","3","2.9","2.9","2.2000000000000002","2.6","2.5","2.4","2.4",2025
"Luxembourg","3.2","0.8","1","1.9","4.7","5.6","10","4","8.5","9.8000000000000007","5.3","8.6","1.8","4.2","3.8","1.4","1.5","5.9","6.5","8.4","8.4","3.1","3.2","2.6","4.2","2.5","6","8.1","-0.3","-3.2","3.8","1","1.6","3.2","2.6","2.2999999999999998","5","1.3","1.6","2.7","-0.5","6.9","-1.1000000000000001","0.1","0.4","0.6","1.6","1.7","2.1","2.1","2","2",2024
"Macao SAR","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","8.9","11.6","26.6","8.1","13.4","14.5","3.4","1.3","25.1","21.6","9.1999999999999993","10.8","-2","-21.8","-0.7","9.9","6.4","-2.5","-54.4","22.5","-19","75.3","7.8","4.7","3","3.1","3.1","3","3","3",2025
"Madagascar","0.8","-9.8000000000000007","-1.9","0.9","1.8","1.2","2","1.2","3.4","4.0999999999999996","3.1","-6.3","1.2","2.1","0","1.7","2.2000000000000002","3.7","3.9","4.7","4.5","6","-12.4","9.8000000000000007","5.3","4.8","5.4","5.7","6.7","-4","0.6","1.6","3","2.2999999999999998","3.3","3.1","4","3.9","3.2","4.4000000000000004","-7.1","4.7","4.0999999999999996","4.2","4.3","2.8","3.6","4.0999999999999996","4.5999999999999996","4.7","4.8","4.8",2024
"Malawi","0.4","-5.2","2.5","3.7","5.4","4.5999999999999996","-0.2","1.6","3.2","1.3","5.7","8.6999999999999993","-7.3","9.6999999999999993","-10.3","13.8","10","6.6","1.1000000000000001","3.5","0.8","-4.0999999999999996","1.8","5.7","5.4","3.3","4.7","9.6","7.6","8.3000000000000007","6.9","4.9000000000000004","1.9","5.2","5.7","3","2.2999999999999998","4","4.4000000000000004","5.4","1","4.5999999999999996","0.9","1.9","1.7","2.1","2.2000000000000002","2.4","2.7","2.9","3","3",2024
"Malaysia","7.4","6.9","5.9","6.3","7.8","-0.9","1.2","5.4","9.9","9.1","9","9.5","8.9","9.9","9.1999999999999993","9.8000000000000007","10","7.3","-7.4","6.1","8.6999999999999993","0.5","5.4","5.8","6.8","5","5.6","6.3","4.8","-1.5","7.5","5.3","5.5","4.7","6","5","4.4000000000000004","5.8","4.8","4.4000000000000004","-5.5","3.3","9","3.5","5.0999999999999996","5.2","4.7","4.3","4.3","4.3","4.3","4.3",2025
"Maldives","18.8","7.9","7.5","4.4000000000000004","17.399999999999999","13.8","8.6","8.9","8.6999999999999993","9.3000000000000007","-4","6.9","6.5","5.4","7.5","7.4","9.1","10.4","9.8000000000000007","7.2","4.7","1.5","6.1","14.2","6","-11.2","23.6","7.1","9","-8.1999999999999993","6.8","8.6","2.4","7","7.8","3.9","6.4","7.1","8.6","6.9","-32.9","37.5","13.8","5.0999999999999996","3.1","5","3","4.5999999999999996","4.2","4","4","4",2024
"Mali","3.3","-0.9","-3.3","0.3","-3.9","9.6","-1","-0.2","8.1","3","-4.5999999999999996","11.7","-5.6","5.4","2.2000000000000002","1.6","6.4","6.4","5.5","2.4","-1.6","11.8","7.4","5.2","-2.8","6.9","5","4.0999999999999996","4.8","4.9000000000000004","5.9","3.8","-0.3","3.3","6.5","6.2","6","5.4","4.9000000000000004","5","-1.2","3.1","3.7","4.7","5","4.9000000000000004","5.5","5.7","5.5","5.2","5.3","5.2",2024
"Malta","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","-0.8","2.7","3.7","0.4","2.9","2.2999999999999998","5","4.4000000000000004","-1.4","6.2","1","4.0999999999999996","6.3","7.6","9.6","4.0999999999999996","13","7.2","4.0999999999999996","-3.5","13.4","2.6","10.6","6.2","4","3.7","3.8","4","4","4","4",2025
"Marshall Islands","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","-0.6","-1.3","2.7","7.1","3.5","-1.6","-0.7","1.8","0.2","3.7","-7.6","3.7","5.6","-0.5","-1.3","3.8","-1.3","1.9","2.5","3.6","5.5","10.5","-2.8","2.1","-0.7","-5.3","3","2.5","3.7","2","1.9","1.8","1.6","1.6",2024
"Martinique","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Mauritania","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","0","1.8","5.9","-3.1","9.8000000000000007","5.8","-4","2.8","3.7","-3.9","-0.8","1.4","6.9","4.7","8.6","18.3","-2","-0.3","0.1","2.6","4.2","4.5","4.2","4.3","5.4","1.3","6.3","4.8","3.1","-0.4","0.7","6.8","6.8","6.3","4.2","4.4000000000000004","4.5","5.7","4.9000000000000004","3","3",2024
"Mauritius","-10.1","5.9","5.5","0.4","4.8","6.9","9.6999999999999993","10.199999999999999","6.8","4.5","7.2","4.4000000000000004","6.5","5.0999999999999996","4.0999999999999996","4.3","5.6","5.7","6.1","2.6","8.1999999999999993","3.2","1.6","6","4.3","1.5","4.5","5.7","5.4","3.3","4.4000000000000004","4.0999999999999996","3.5","3.4","3.8","3.7","3.9","3.9","4","2.9","-14.5","3.4","8.6999999999999993","5","4.9000000000000004","3.1","3.4","3.4","3.4","3.4","3.4","3.4",2024
"Mayotte","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Mexico","9.5","9.6","0","-4.5999999999999996","3.5","1.9","-3.9","2.1","1.2","3.6","5.3","4","3.6","2.9","4.4000000000000004","-5.9","6.2","7.2","6.2","2.8","5","-0.5","-0.2","1.2","3.6","2.1","4.8","2.1","0.9","-6.3","5","3.4","3.6","0.9","2.5","2.7","1.8","1.9","2","-0.4","-8.4","6","3.7","3.1","1.4","0.6","1.6","2.2000000000000002","2.1","2","2","2",2024
"Micronesia, Fed. States of","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","-3.3","-6.2","2.9","1.1000000000000001","4.3","2.1","0.3","1.6","-3.2","2.4","-0.3","-1.7","-2.6","1.1000000000000001","2","3.8","-1.7","-3.7","-2.6","4.5","1","2.2999999999999998","0.5","3.4","-2","3.1","-3.1","1.1000000000000001","2.2999999999999998","1.1000000000000001","0.7","1.1000000000000001","1.4","1","0.7","0.7",2024
"Moldova","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","-17.5","-29.7","-1.2","-30.9","-1.4","-5.9","1.6","-6.5","-3.4","2.1","6.1","7.8","6.6","7.4","7.5","4.8","3","7.8","-6","7.1","5.8","-0.6","9","5","-0.7","4.5999999999999996","4.2","4.0999999999999996","3.6","-8.3000000000000007","13.9","-4.5999999999999996","1.2","0.3","2.4","1.9","3.2","3.6","3.6","3.5","3.5",2025
"Monaco","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Mongolia","6.4","8.4","8.3000000000000007","5.8","5.9","5.7","9.4","3.5","5.0999999999999996","4.2","-2.5","-9.1999999999999993","-9.3000000000000007","-3.2","2.1","6.4","2.2000000000000002","3.9","3.3","3.1","1.1000000000000001","4.5999999999999996","5.3","7.4","9.4","6.5","8.1999999999999993","8.8000000000000007","7.8","-2.1","7.3","17.3","12.3","11.6","7.9","2.4","1.5","5.6","7.7","5.6","-4.5999999999999996","1.6","5","7.4","5.0999999999999996","6.8","5.3","5.3","5.2","5","5","5",2025
"Montenegro","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","1.1000000000000001","1.9","2.5","4.4000000000000004","4.2","8.6","7.1","6.9","-6","2.8","3.4","-2.5","3.4","2.4","2.5","3.4","3.2","4.7","4.4000000000000004","-15","13","7.7","6.5","3.2","2.7","2.8","2.7","3.2","3","3","3",2025
"Montserrat","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Morocco","3.8","-2.8","9.6","-0.6","4.3","6.3","8.3000000000000007","-2.5","10.4","2.4","4","7.5","-2.9","-1","11.5","-6.3","13.5","-2","8","0.5","1.6","7.6","3.3","6.3","4.8","3","7.8","2.7","5.9","4.2","3.8","5.2","3","4.5","2.7","4.3","0.5","5.0999999999999996","3.1","2.9","-7.2","8.1999999999999993","1.8","3.7","3.8","4.9000000000000004","4.9000000000000004","4.5","4.5","4.4000000000000004","4.0999999999999996","4",2024
"Mozambique","4.2","5","-6.9","-15.7","-6.5","1","-2.2999999999999998","14.7","8.1999999999999993","6.5","1","6.6","-7.6","10.9","6.4","2.1","10.7","11.8","10.4","11.8","0.8","12.9","9.6999999999999993","7.2","8.1999999999999993","6.3","9.9","7.6","6.9","5.9","6.7","7.1","8","6.6","7.7","7.4","4.7","2.6","3.5","2.2999999999999998","-1.2","2.4","4.4000000000000004","5.5","2.1","-0.5","0.5","2.7","2.2000000000000002","3.1","12.1","13",2023
"Myanmar","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","8.4","12.4","12.5","9.9","13.2","15.3","13.6","13.3","12.5","7.6","4.4000000000000004","5.2","5.5","6.5","7.9","8.1999999999999993","5.9","6.8","6.1","6.3","6.6","-9","-12","4","1","-1","-2","3","3","2.5","2.2000000000000002","1.8","1.8",2022
"Namibia","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","5.3","9.3000000000000007","-1.6","3","4.0999999999999996","3.2","4.2","3.3","3.4","3.5","2.4","6.7","3.5","6.6","4.7","3.9","3.6","2.6","0.3","6","5.0999999999999996","5.0999999999999996","5.6","6.1","4.3","0","-1","1.1000000000000001","-0.8","-8.1","3.6","5.4","4.4000000000000004","3.7","2.4","2.4","2.7","3","3.1","3","3",2024
"Nauru","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","-0.4","8.3000000000000007","-22.2","20.399999999999999","-5.7","-0.2","14.4","25.3","3.6","16.399999999999999","2.7","4.4000000000000004","-6","-1.2","8.5","2","7.2","0.1","-0.3","1.4","2.2000000000000002","2.1","2","2","2","2","2",2021
"Nepal","-2.2999999999999998","8.3000000000000007","3.8","-3","9.6999999999999993","6.1","4.5999999999999996","1.7","7.7","4.3","4.5999999999999996","6.4","4.0999999999999996","3.8","8.1999999999999993","3.5","5.3","5.3","2.9","4.5","6.1","5.6","0.1","3.9","4.7","3.5","3.4","3.4","6.1","4.5","4.8","3.4","4.7","3.5","6","4","0.4","9","7.6","6.7","-2.4","4.8","5.6","2","3.7","4.5999999999999996","3","4.5999999999999996","5.3","5.0999999999999996","5","5",2025
"Netherlands","no data","-0.5","-1.3","1.8","3.1","2.7","3.1","1.9","4.5999999999999996","4.5","4.2","2.5","1.6","1.3","3","3.1","3.4","4.2","4.7","5","4.2","2.2999999999999998","0.2","0.1","2","2","3.5","3.9","2.1","-3.7","1.3","1.8","-1","0","1.6","2.1","2.4","2.8","2.2999999999999998","2.2999999999999998","-3.9","6.3","5","-0.6","1.1000000000000001","1.9","1.2","1.4","1.4","1.3","1.2","1.2",2025
"New Caledonia","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"New Zealand","1","3","2.9","-0.1","6.9","1.2","1.8","2.4","0.6","0.4","0","-1.3","0.7","5.2","5.6","4.9000000000000004","4.0999999999999996","2.4","0.4","4.5","4.2","2.5","4.7","4.4000000000000004","4.8","3.2","2.8","3.5","-0.2","-1.1000000000000001","1.7","1.7","2.5","2.1","3.8","3.6","4","3.3","3.3","3","-1.2","5.5","2.6","2.2000000000000002","-0.3","0.2","2.1","2.4","2.4","2.2999999999999998","2.2000000000000002","2.2000000000000002",2025
"Nicaragua","4.5999999999999996","5.4","-0.8","4.5999999999999996","-1.6","-4.0999999999999996","-1","-0.7","-12.4","-1.7","-0.1","-0.2","0.4","-0.4","5","5.9","6.3","4","3.7","7","4.0999999999999996","3","0.8","2.5","5.4","4.2","3.8","5.0999999999999996","3.4","-3.3","4.4000000000000004","6.3","6.5","4.9000000000000004","4.8","4.8","4.5999999999999996","4.5999999999999996","-3.4","-2.9","-2.2000000000000002","10.5","3.6","4.4000000000000004","3.6","4.9000000000000004","3.8","3.8","3.5","3.5","3.5","3.5",2025
"Niger","4.9000000000000004","-0.2","2.2000000000000002","-3.9","-16.8","7.7","6.4","0.1","6.9","1","-1.3","-0.4","2","0.3","1.9","2.5","0.1","1.5","10","-0.2","-1.2","7.3","4.9000000000000004","2.2000000000000002","0.4","7.3","5.9","3.1","7.7","2","8.6","2.4","10.5","5.3","6.6","4.4000000000000004","5.7","5","7","6.1","3.5","1.4","11.9","2.4","10.3","6.9","6.7","6.5","6","6","6","6",2022
"Nigeria","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","-0.6","2.2000000000000002","1.6","0.3","1.9","4.0999999999999996","2.9","2.5","0.5","5.5","6.7","14.6","9.5","10.4","7","6.7","7.3","7.2","8.4","11.3","4.9000000000000004","4.3","5.4","6.3","2.7","-1.6","0.8","1.9","2.2000000000000002","-6.4","1.1000000000000001","4.3","3.3","4.0999999999999996","4","4.0999999999999996","4.3","4.0999999999999996","4.2","4.2","4.2",2024
"Niue","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"North Macedonia","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","-7.5","-1.8","-1.1000000000000001","1.2","1.4","3.4","4.3","4.5","-3.1","1.5","2.2000000000000002","4.7","4.7","5.0999999999999996","6.5","5.5","-0.4","3.4","2.2999999999999998","-0.5","2.9","3.6","3.9","2.8","1.1000000000000001","2.9","3.9","-4.7","4.5","2.8","2.6","3","3.5","3.1","3","3","3","3","3",2025
"Northern Mariana Islands","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Norway","4.5","1.7","0.2","3.9","6.1","5.6","4","1.7","-0.3","1","2","2.9","3.6","2.9","5","4.2","5","5.0999999999999996","2.7","2.2000000000000002","3.4","2.2000000000000002","1.5","1.1000000000000001","4.3","3","2.8","3.4","0.8","-1.6","1","1.4","2.8","1.3","2.1","2","1.3","2.7","1.1000000000000001","1.5","-1.4","4.0999999999999996","4.0999999999999996","0.4","1.4","1.1000000000000001","1.5","1.3","1.1000000000000001","1.1000000000000001","1.1000000000000001","1.1000000000000001",2025
"Oman","6.1","17.100000000000001","11.5","15.9","13.9","14.5","2.1","-4","5.2","3","8.4","6","8.5","6.1","3.8","4.8","2.9","6.2","2.7","0.3","6.2","4.5999999999999996","-0.8","-2.2000000000000002","2","2.8","4.7","5","9","6","2.5","2.9","8.9","5.2","1.3","5","5","0.3","1.3","-1.1000000000000001","-3.4","2.6","8","1.4","1.6","2.4","3.5","3.4","3.7","3.5","3.3","2.7",2025
"Pakistan","6.9","6.2","7.6","6.8","4","8.6999999999999993","6.4","5.8","6.4","4.8","4.5999999999999996","5.0999999999999996","7.6","2.1","4.4000000000000004","5.0999999999999996","6.6","1.7","3.5","4.2","3.9","3.6","2.6","5.2","7.7","8","5.7","5.0999999999999996","4.4000000000000004","1.1000000000000001","2.2999999999999998","3.2","3.2","3.9","3.6","3.8","4.0999999999999996","4.5999999999999996","6.1","3.1","-0.9","5.8","6.2","-0.2","2.6","3.1","3.6","3.5","4.3","4.5","4.5","4.5",2025
"Palau","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","7.3","4.7","-2.1","3.5","2.9","0.2","0.7","-5.6","-6.2","-3","4.5","2.1","-1.4","4.2","8.6","1.7","-3.4","-0.4","0.3","-6","-11.9","-0.5","1.2","12","6.3","3.3","2.8","3.2","2.6","2","2",2024
"Panama","4.5","9.1999999999999993","5.3","-4.5","2.7","4.9000000000000004","3.6","-1.8","-13.4","1.6","8.1","9.4","8.1999999999999993","5.5","2.8","1.8","7.4","7.7","8.4","5.2","4.2","0.9","2.5","5.0999999999999996","8.1999999999999993","8.3000000000000007","9.9","13.2","10.199999999999999","1.6","6.1","11.9","9.6","6.3","4.5999999999999996","5.3","4.5999999999999996","5.7","3.9","3.1","-17.8","16.5","11","7.2","2.7","4.4000000000000004","3.8","4.5","4.5","4.8","4.5","4.5",2025
"Papua New Guinea","-2.2999999999999998","1.1000000000000001","0.8","3.4","-1","3.6","5.7","2.8","2.9","-1.4","-3.1","9.6","13.8","13.3","10.5","-3.4","6.6","-6.3","4.7","1.9","-2.5","-0.1","-0.2","9","0.6","4.3","2.5","7.8","-0.3","6.8","10.1","1.1000000000000001","4.7","3.8","13.5","6.6","5.5","3.5","-0.3","4.5","-3.2","-0.5","5.7","3.8","3.9","5.6","3.8","3.8","3.2","3.1","3.1","3.1",2024
"Paraguay","11.7","9.1999999999999993","-1.4","-3","2.8","3.9","0.3","4.0999999999999996","5.9","5.8","4.0999999999999996","3.5","1.7","4.9000000000000004","5.3","6.8","1.6","4.2","0.1","-1.4","-2.2999999999999998","-0.8","0","4.3","4.0999999999999996","2.1","4.8","5.4","6.5","-0.3","11.1","4.3","-0.7","8.3000000000000007","5.3","3","4.3","4.8","3.2","-0.4","-0.8","4","0","5.3","4.7","6","4.2","3.5","3.5","3.5","3.5","3.5",2024
"Peru","7.7","5.5","-0.3","-9.3000000000000007","3.8","2.1","12.1","7.7","-9.4","-13.4","-5.0999999999999996","2.2000000000000002","-0.5","5.2","12.3","7.4","2.8","6.5","-0.4","1.5","2.7","0.6","5.5","4.2","5","6.3","7.5","8.5","9.1","1.1000000000000001","8.3000000000000007","6.3","6.1","5.9","2.4","3.3","4","2.5","4","2.2000000000000002","-10.9","13.4","2.8","-0.4","3.5","3.4","2.8","2.8","2.8","2.8","2.8","2.8",2025
"Philippines","5.0999999999999996","3.4","3.6","1.9","-7.3","-7.3","3.4","4.3","6.8","6.2","3","-0.4","0.4","2.2000000000000002","4.4000000000000004","4.5999999999999996","5.9","5.2","-0.5","3.3","4.4000000000000004","3","3.7","5.0999999999999996","6.6","4.9000000000000004","5.3","6.5","4.3","1.4","7.3","3.9","6.9","6.8","6.3","6.3","7.1","6.9","6.3","6.1","-9.5","5.7","7.6","5.5","5.7","4.4000000000000004","4.0999999999999996","5.8","6.1","6.1","6","6",2025
"Pitcairn","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Poland","-6","-10","-4.8","5.6","-0.4","3.9","3.5","2.2999999999999998","3.3","3.8","-7.2","-7","2","4.3","5.2","6.7","6.2","7.1","5","4.5","4.3","1.2","1.4","3.5","5.0999999999999996","3.3","6.2","6.8","4.4000000000000004","2.6","3.2","5.3","1.5","0.7","3.9","4.4000000000000004","3","5.2","6.2","4.5999999999999996","-2","6.9","5.3","0.2","3","3.6","3.3","2.4","2.6","2.6","2.5","2.5",2025
